batch_id,recipient_id,status,sent_at,opened_at,replied_at,bounced_at
19,11,sent,2026-05-25T14:23:39.190074,,,
19,12,sent,2026-05-25T14:24:41.630904,,,
19,13,sent,2026-05-25T14:25:43.424718,,,
19,14,sent,2026-05-25T14:26:55.396425,,,
19,15,sent,2026-05-25T14:27:57.332745,,,
19,16,sent,2026-05-25T14:29:00.016355,,,
19,17,sent,2026-05-25T14:30:02.277375,,,
19,19,sent,2026-05-25T14:31:05.562194,,,
19,20,sent,2026-05-25T14:32:07.348011,,,
19,21,sent,2026-05-25T14:33:09.979224,,,
19,22,sent,2026-05-25T14:34:11.703784,,,
19,23,sent,2026-05-25T14:35:14.862389,,,
19,24,sent,2026-05-25T14:36:16.546042,,,
19,25,sent,2026-05-25T14:37:20.145468,,,
19,26,sent,2026-05-25T14:38:21.575091,,,
19,27,sent,2026-05-25T14:39:23.840775,,,
19,28,sent,2026-05-25T14:40:25.398788,,,
19,29,sent,2026-05-25T14:41:28.327789,,,
20,254,sent,2026-05-25T14:13:18.260906,,,
20,255,sent,2026-05-25T14:15:22.684494,,,
21,254,sent,2026-05-28T12:43:26.354835,,,
21,255,sent,2026-05-28T12:45:32.481751,,,
22,254,sent,2026-05-28T23:26:57.930139,,,
22,255,sent,2026-05-28T23:30:16.746094,,,
23,254,pending,,,,
23,255,pending,,,,
24,2,sent,2026-05-25T14:13:18.260906,,,
24,204,sent,2026-05-25T14:15:22.684494,,,
24,205,sent,2026-05-25T14:17:27.072699,,,
24,206,sent,2026-05-25T14:19:30.674475,,,
24,207,sent,2026-05-25T14:21:34.810910,,,
24,208,sent,2026-05-25T14:23:39.190074,,,
24,209,sent,2026-05-25T14:25:43.424718,,,
24,210,sent,2026-05-25T14:27:57.332745,,,
24,211,sent,2026-05-25T14:30:02.277375,,,
24,212,sent,2026-05-25T14:32:07.348011,,,
24,213,sent,2026-05-25T14:34:11.703784,,,
24,214,sent,2026-05-25T14:36:16.546042,,,
24,215,sent,2026-05-25T14:38:21.575091,,,
24,216,sent,2026-05-25T14:40:25.398788,,,
24,217,sent,2026-05-25T14:42:29.995350,,,
24,218,sent,2026-05-25T14:44:31.248434,,,
24,219,sent,2026-05-25T14:46:31.964096,,,
24,220,sent,2026-05-25T14:48:32.999809,,,
24,221,sent,2026-05-25T14:50:33.799468,,,
